A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,Year,Race,Gender,Orientation,Transgender
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Hispanic or Latinx,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Nonbinary,Bisexual,Yes
I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,"Black, White, Mixed",Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Male,Heterosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Third,,,,
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Second,"Asian, White",Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,Black,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Nonbinary,Likes women,Yes
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,Middle Eastern,Male,Heterosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Third,"Asian, White",Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,First,"Asian, Hispanic or Latinx",Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Hispanic or Latinx,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,Fourth,Asian,Male,Heterosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,"Hispanic or Latinx, White",Female,Bisexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,"Asian, White",Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,,,,
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Third,Hispanic or Latinx,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Middle Eastern,Male,Heterosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,"Hispanic or Latinx, White",Nonbinary,,Yes
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,Black,Female,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,Hispanic or Latinx,Female,Heterosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Male,Heterosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Hispanic or Latinx,Female,Bisexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Male,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,First,"Middle Eastern, White",Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Third,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Asexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,Fourth,Asian,Male,Heterosexual,No
I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Nonbinary,Homosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Male,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,"Asian, White",Male,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,Asian,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Third,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Asexual ,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Second,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,"Hispanic or Latinx, White",Male,Homosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,First,Asian,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Third,"Hispanic or Latinx, White",Female,Homosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Homosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Female,Bisexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,"Black, Hispanic or Latinx",Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian American,Male,Heterosexual,No
